time,lyrics
0,
6600,울려 퍼져라 개선가여 (어디까지나)
17933,열린 미래는 이미 (이 손에)
26750,
47767,"강렬한 나날을 달려왔어 꿈과 싸우며 공방전, 진검승부"
57567,자그마한 용기의 손을 한결같이 Play a game!
64833,"들어라, 승리의 함성을"
67167,
67217,비바람 휘몰아치고
69667,내 모습조차 보이지 않아
72117,그때의 눈빛으로
74567,그대로 나아가라
76967,눈물을 넘어 달려 나간 끝에…
82667,널리 퍼지는 승리
84967,유례없는 시대
86967,그 중심에 서 있는 (서 있던) 나
91967,
93550,울려 퍼트리자 개선가를
96750,어디까지나 Ah
99667,거칠 것 없는 지평선으로
103033,열린 미래는 이미
106550,흔들림 없는 Place
109467,천상천하가 그렇게 찬양하네
112833,I've got pride and dreams
114200,"자, 미소를 보여줘"
119417,새겨졌어
121250,My history[COMMA] my victory!
127483,
130417,울려 퍼져라 개선가여 (어디까지나)
142367,열린 미래는 이미 (이 손에)
150783,Ms. VICTORIA
160700,